Word,Definition,Vietnamese Translation,Example Sentence,Part of Speech,Related Forms,Synonyms,Antonyms,Collocations
decay,The state or process of rotting or decomposition,phân hủy,The old house was in a state of decay.,"noun, verb","decays, decaying, decayed","decomposition, rot","growth, improvement","tooth decay, gradual decay"
December,The twelfth month of the year,Tháng 12,They are planning a trip in December.,noun,none,twelfth month,none,"cold December, December 25th"
decide,Come to a resolution in the mind as a result of consideration,quyết định,She decided to go to college.,"verb, noun","decides, deciding, decided","determine, choose","hesitate, waver","decide to go, decide quickly"
decide on,Choose from a number of alternatives,quyết định,They decided on a new strategy.,phrasal verb,"decides on, deciding on, decided on","select, opt for",none,"decide on a plan, decide on a course"
decision,A conclusion or resolution reached after consideration,phán quyết,The decision was unanimous.,"noun, verb",decisions,"resolution, conclusion","indecision, hesitation","final decision, important decision"
declare,Say something in a solemn and emphatic manner,tuyên bố,He declared his love for her.,"verb, noun","declares, declaring, declared","announce, proclaim","deny, retract","declare a state of emergency, declare love"
decline,"Become smaller, fewer, or less; decrease",sự suy sụp,The economy is beginning to decline.,"verb, noun","declines, declining, declined","diminish, reduce","increase, rise","steady decline, sharp decline"
decorate,Make (something) look more attractive by adding extra items or images to it,trang trí,They decorated the room for the party.,"verb, noun","decorates, decorating, decorated","adorn, embellish","spoil, deface","decorate the house, decorate the room"
decoration,The process or art of decorating or adorning something,trang trí,The decoration of the hall was beautiful.,"noun, verb",decorations,"ornamentation, adornment",none,"holiday decoration, party decoration"
decorative,Serving to make something look more attractive; ornamental,trang trí,She added decorative touches to her room.,"adjective, noun",decoratively,"ornamental, beautifying","plain, functional","decorative items, decorative purposes"
decrease,"Make or become smaller or fewer in size, amount, intensity, or degree",giảm bớt,There was a decrease in sales.,"verb, noun","decreases, decreasing, decreased","reduce, diminish","increase, rise","sharp decrease, slight decrease"
deep,Extending far down from the top or surface,sâu,The lake is very deep.,"adjective, noun","deeper, deepest","profound, bottomless","shallow, superficial","deep water, deep hole"
deeply,At or to a considerable extent downward,sâu sắc,She was deeply moved by the story.,adverb,"deeper, deepest","profoundly, strongly","slightly, lightly","deeply regret, deeply in love"
defeat,Win a victory over (someone) in a battle or other contest; overcome or beat,đánh bại,They defeated the opposing team.,"verb, noun","defeats, defeating, defeated","conquer, overcome","surrender, lose","defeat the enemy, defeat the opponent"
defence,The action of defending from or resisting attack,phòng thủ,They built a wall for defence.,"noun, verb",defences,"protection, shield","attack, offense","self-defence, national defence"
defend,Resist an attack made on (someone or something); protect from harm or danger,phòng vệ,They defended their country from invaders.,"verb, noun","defends, defending, defended","protect, guard","attack, abandon","defend against, defend a position"
define,"State or describe exactly the nature, scope, or meaning of",định nghĩa,Can you define this term?,"verb, noun","defines, defining, defined","explain, describe","confuse, obscure","define clearly, define terms"
definite,Clearly stated or decided; not vague or doubtful,chắc chắn,We need a definite answer by tomorrow.,"adjective, noun",definites,"certain, clear","indefinite, uncertain","definite answer, definite plans"
definitely,Without doubt (used for emphasis),chắc chắn,I definitely agree with you.,adverb,definitely,"certainly, surely","doubtfully, uncertainly","definitely true, definitely wrong"
definition,"A statement of the exact meaning of a word, especially in a dictionary",sự định nghĩa,The dictionary provides definitions for words.,"noun, verb",definitions,"meaning, explanation",misdefinition,"clear definition, precise definition"
degree,"The amount, level, or extent to which something happens or is present",bằng cấp,The temperature dropped by a few degrees.,"noun, verb",degrees,"level, extent",none,"high degree, degree of difficulty"
delay,Make (someone or something) late or slow,trì hoãn,The flight was delayed due to bad weather.,"verb, noun","delays, delaying, delayed","postpone, defer","advance, hasten","flight delay, delay in delivery"
deliberate,Done consciously and intentionally,có chủ ý,It was a deliberate act of vandalism.,"adjective, verb","deliberates, deliberating, deliberated","intentional, planned","accidental, unplanned","deliberate attempt, deliberate action"
deliberately,In a careful and unhurried way,cố tình,She deliberately ignored him.,adverb,deliberately,"intentionally, purposefully","accidentally, unintentionally","deliberately avoid, deliberately ignore"
delicate,Very fine in texture or structure; of intricate workmanship or quality,thanh tú,The fabric is delicate and should be handled carefully.,"adjective, noun",delicately,"fragile, fine","coarse, sturdy","delicate balance, delicate situation"
delight,Great pleasure,hân hoan,She took great delight in her work.,"noun, verb","delights, delighting, delighted","joy, pleasure","displeasure, sadness","take delight in, much to someone's delight"
delighted,Feeling or showing great pleasure,vui mừng,They were delighted with the results.,"adjective, verb",delights,"pleased, happy","displeased, unhappy","delighted with the outcome, delighted to hear"
deliver,"Bring and hand over (a letter, parcel, or goods) to the proper recipient or address",giao,The courier delivered the package.,"verb, noun","delivers, delivering, delivered","hand over, bring","retain, keep","deliver a speech, deliver on a promise"
delivery,"The action of delivering letters, parcels, or goods",vận chuyển,The delivery was scheduled for Monday.,"noun, verb",deliveries,"distribution, dispatch",none,"delivery service, delivery time"
